Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00034247,-0.34147,0.049723,0,0,0,11.5,0.0041015,4.4238E-06,4.0991E-07,0.004503,-1.004E-06,0.0077111,0,0,0,0,0,0,package://ballbot 3.0/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/base_link.STL,,电机.stp-1;cross recessed cheese head screws gb-21;cross recessed cheese head screws gb-17;hex thin nuts-grades b--unchamfered gb-13;hex thin nuts-grades b--unchamfered gb-10;cross recessed cheese head screws gb-23;cross recessed cheese head screws gb-22;hex thin nuts-grades b--unchamfered gb-12;cross recessed cheese head screws gb-20;hex thin nuts-grades b--unchamfered gb-11;cross recessed cheese head screws gb-19;cross recessed cheese head screws gb-18;cross recessed cheese head screws gb-16;电机支架-3;hex thin nuts-grades b--unchamfered gb-5;hex thin nuts-grades b--unchamfered gb-3;hex thin nuts-grades b--unchamfered gb-2;cross recessed cheese head screws gb-26;hex thin nuts-grades b--unchamfered gb-4;cross recessed cheese head screws gb-27;电机支架-2;底盘-2;cross recessed cheese head screws gb-11;cross recessed cheese head screws gb-12;cross recessed cheese head screws gb-6;cross recessed cheese head screws gb-3;cross recessed cheese head screws gb-5;cross recessed cheese head screws gb-13;cross recessed cheese head screws gb-14;cross recessed cheese head screws gb-7;cross recessed cheese head screws gb-8;cross recessed cheese head screws gb-10;cross recessed cheese head screws gb-9;hex thin nuts-grades b--unchamfered gb-7;hex thin nuts-grades b--unchamfered gb-6;hex thin nuts-grades b--unchamfered gb-9;hex thin nuts-grades b--unchamfered gb-8;电机支架-1;cross recessed cheese head screws gb-4;cross recessed cheese head screws gb-25;cross recessed cheese head screws gb-24;电机.stp-4;电机.stp-5;板1-1;支柱-7;支柱-2;支柱-6;支柱-3;stm32f103rc-1;BTN7971-1;支柱-4;支柱-5;battery-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
omniwheel4,-0.0033504,-0.017313,0.00031354,0,0,0,0.4,5.3804E-05,1.7084E-06,-4.8248E-09,7.3424E-05,-1.9402E-07,5.3646E-05,0,0,0,0,0,0,package://ballbot 3.0/meshes/omniwheel4.STL,1,1,1,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/omniwheel4.STL,,lianzhouqi-4;omniwheel-4/omnidirectionalwheels-1;omniwheel-4/omnidirectionalwheels2-1;omniwheel-4/hex bolts with slot on head grade ab gb-5;omniwheel-4/hex bolts with slot on head grade ab gb-6;omniwheel-4/hex bolts with slot on head grade ab gb-7;omniwheel-4/hex bolts with slot on head grade ab gb-8;omniwheel-4/hex bolts with slot on head grade ab gb-9;omniwheel-4/hex bolts with slot on head grade ab gb-10;omniwheel-4/hex bolts with slot on head grade ab gb-12;omniwheel-4/hex bolts with slot on head grade ab gb-11;omniwheel-4/hex bolts with slot on head grade ab gb-4,Origin_omniwheel1,基准轴1,omniwheel4,continuous,-0.11348,-0.34003,-0.052798,1.4806,0.69325,-0.14058,base_link,0,1,0,,,,,,,,,,,,
wheel41,7.1848E-06,6.8694E-06,2.982E-06,0,0,0,0.0023,2.1874E-07,4.4072E-16,-4.7451E-16,2.4987E-07,1.5924E-18,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel41.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel41.STL,,omniwheel-4/wheel-1,Origin_wheel41,基准轴41,wheel41,continuous,0.022594,-0.010412,0.03125,-0.73638,-0.68311,3.0472,omniwheel4,1,0,0,,,,,,,,,,,,
wheel42,3.9928E-06,9.4484E-06,2.0535E-07,0,0,0,0.0023,2.1874E-07,-1.571E-14,1.6915E-14,2.4987E-07,2.0581E-15,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel42.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel42.STL,,omniwheel-4/wheel-2,Origin_wheel42,基准轴42,wheel42,continuous,0.036556,-0.011848,0.0077631,-0.69867,-1.3811,3.0059,omniwheel4,1,0,0,,,,,,,,,,,,
wheel43,-8.9079E-07,1.0028E-05,-4.1885E-07,0,0,0,0.0023,2.1874E-07,-1.8078E-14,1.9464E-14,2.4987E-07,2.2873E-15,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel43.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel43.STL,,omniwheel-4/wheel-3,Origin_wheel43,基准轴43,wheel43,continuous,0.032203,-0.011724,-0.01925,2.3738,-1.0621,-0.069915,omniwheel4,1,0,0,,,,,,,,,,,,
wheel44,-5.1771E-06,8.3376E-06,1.4013E-06,0,0,0,0.0023,2.1874E-07,2.6295E-15,-2.8311E-15,2.4987E-07,5.4475E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel44.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel44.STL,,omniwheel-4/wheel-4,Origin_wheel44,基准轴44,wheel44,continuous,0.011572,-0.010098,-0.037149,2.383,-0.36403,-0.083182,omniwheel4,1,0,0,,,,,,,,,,,,
wheel45,-6.8649E-06,5.1664E-06,4.8157E-06,0,0,0,0.0023,2.1874E-07,2.5622E-15,-2.7587E-15,2.4987E-07,4.6069E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel45.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel45.STL,,omniwheel-4/wheel-5,Origin_wheel45,基准轴45,wheel45,continuous,-0.015684,-0.0077316,-0.037559,2.3832,0.33407,-0.090021,omniwheel4,1,0,0,,,,,,,,,,,,
wheel46,-5.159E-06,1.9986E-06,8.2263E-06,0,0,0,0.0023,2.1874E-07,-1.0069E-14,1.0841E-14,2.4987E-07,9.4571E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel46.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel46.STL,,omniwheel-4/wheel-6,Origin_wheel46,基准轴46,wheel46,continuous,-0.036811,-0.0057311,-0.020288,2.3748,1.0321,-0.10248,omniwheel4,1,0,0,,,,,,,,,,,,
wheel47,-8.6463E-07,3.1784E-07,1.0036E-05,0,0,0,0.0023,2.1874E-07,-3.5856E-15,3.8606E-15,2.4987E-07,9.9855E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel47.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel47.STL,,omniwheel-4/wheel-7,Origin_wheel47,基准轴47,wheel47,continuous,-0.041924,-0.005033,0.0065827,-0.68944,1.411,3.1131,omniwheel4,1,0,0,,,,,,,,,,,,
wheel48,4.0124E-06,9.0927E-07,9.3992E-06,0,0,0,0.0023,2.1874E-07,-5.8857E-15,6.337E-15,2.4987E-07,2.185E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel48.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel48.STL,,omniwheel-4/wheel-8,Origin_wheel48,基准轴48,wheel48,continuous,-0.028631,-0.0059639,0.03048,-0.73607,0.71308,3.063,omniwheel4,1,0,0,,,,,,,,,,,,
wheel49,7.1936E-06,3.4969E-06,6.6132E-06,0,0,0,0.0023,2.1874E-07,5.957E-16,-6.4137E-16,2.4987E-07,2.9174E-18,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel49.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel49.STL,,omniwheel-4/wheel-9,Origin_wheel49,基准轴49,wheel49,continuous,-0.0031507,-0.0080883,0.040222,-0.7391,0.014982,3.055,omniwheel4,-1,0,0,,,,,,,,,,,,
wheel410,7.2147E-06,7.0627E-06,2.4072E-06,0,0,0,0.0023,2.1874E-07,2.0029E-23,-1.0206E-15,2.4987E-07,2.595E-24,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel410.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel410.STL,,omniwheel-4/wheel-10,Origin_wheel410,基准轴410,wheel410,continuous,-0.0042527,-0.030625,-0.039565,0.0093936,0.006392,3.0549,omniwheel4,1,0,0,,,,,,,,,,,,
wheel411,4.0676E-06,7.0627E-06,6.2364E-06,0,0,0,0.0023,2.1874E-07,-6.0908E-22,6.1003E-16,2.4987E-07,-1.4272E-23,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel411.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel411.STL,,omniwheel-4/wheel-11,Origin_wheel411,基准轴411,wheel411,continuous,0.02131,-0.032759,-0.030043,0.012328,0.70449,3.0628,omniwheel4,1,0,0,,,,,,,,,,,,
wheel412,-8.0329E-07,7.0627E-06,7.1477E-06,0,0,0,0.0023,2.1874E-07,-1.6456E-22,6.1283E-15,2.4987E-07,4.9378E-24,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel412.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel412.STL,,omniwheel-4/wheel-12,Origin_wheel412,基准轴412,wheel412,continuous,0.034807,-0.033708,-0.0062609,0.056073,1.4024,3.1101,omniwheel4,1,0,0,,,,,,,,,,,,
wheel413,-5.1195E-06,7.0627E-06,4.7147E-06,0,0,0,0.0023,2.1874E-07,3.4015E-22,1.3239E-14,2.4987E-07,5.1775E-24,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel413.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel413.STL,,omniwheel-4/wheel-13,Origin_wheel413,基准轴413,wheel413,continuous,0.029924,-0.03303,0.020653,3.123,1.0407,-0.10279,omniwheel4,1,0,0,,,,,,,,,,,,
wheel414,-6.8651E-06,7.0627E-06,7.5102E-08,0,0,0,0.0023,2.1874E-07,7.7346E-23,1.7559E-15,2.4987E-07,-5.3396E-24,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel414.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel414.STL,,omniwheel-4/wheel-14,Origin_wheel414,基准轴414,wheel414,continuous,0.0089455,-0.031041,0.038106,3.1316,0.34266,-0.090112,omniwheel4,1,0,0,,,,,,,,,,,,
wheel415,-5.2144E-06,7.0627E-06,-4.599E-06,0,0,0,0.0023,2.1874E-07,1.5335E-24,3.195E-15,2.4987E-07,-3.5907E-25,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel415.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel415.STL,,omniwheel-4/wheel-15,Origin_wheel415,基准轴415,wheel415,continuous,-0.018313,-0.028671,0.037931,3.1316,-0.35544,-0.083274,omniwheel4,1,0,0,,,,,,,,,,,,
wheel416,-9.5204E-07,7.0627E-06,-7.1202E-06,0,0,0,0.0023,2.1874E-07,2.6461E-22,2.6543E-14,2.4987E-07,-2.9563E-24,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel416.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel416.STL,,omniwheel-4/wheel-16,Origin_wheel416,基准轴416,wheel416,continuous,-0.039096,-0.027031,0.02021,3.1226,-1.0535,-0.07025,omniwheel4,1,0,0,,,,,,,,,,,,
wheel417,3.9387E-06,7.0627E-06,-6.3103E-06,0,0,0,0.0023,2.1874E-07,-5.6344E-23,2.2778E-14,2.4987E-07,-3.4354E-23,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel417.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel417.STL,,omniwheel-4/wheel-17,Origin_wheel417,基准轴417,wheel417,continuous,-0.04368,-0.026886,-0.0067645,0.052157,-1.3896,3.0035,omniwheel4,1,0,0,,,,,,,,,,,,
wheel418,7.1606E-06,7.0627E-06,-2.5482E-06,0,0,0,0.0023,2.1874E-07,2.5465E-22,9.3027E-16,2.4987E-07,-2.7941E-23,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel418.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel418.STL,,omniwheel-4/wheel-18,Origin_wheel418,基准轴418,wheel418,continuous,-0.029919,-0.028306,-0.030371,0.012197,-0.6917,3.0471,omniwheel4,1,0,0,,,,,,,,,,,,
omniwheel1,-0.0018323,-0.017347,0.0028695,0,0,0,0.4,5.3702E-05,9.3644E-07,-5.9471E-08,7.3422E-05,-1.4555E-06,5.375E-05,0,0,0,0,0,0,package://ballbot 3.0/meshes/omniwheel1.STL,1,1,1,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/omniwheel1.STL,,lianzhouqi-1;omniwheel-1/omnidirectionalwheels2-1;omniwheel-1/omnidirectionalwheels-1;omniwheel-1/hex bolts with slot on head grade ab gb-7;omniwheel-1/hex bolts with slot on head grade ab gb-8;omniwheel-1/hex bolts with slot on head grade ab gb-9;omniwheel-1/hex bolts with slot on head grade ab gb-10;omniwheel-1/hex bolts with slot on head grade ab gb-12;omniwheel-1/hex bolts with slot on head grade ab gb-11;omniwheel-1/hex bolts with slot on head grade ab gb-4;omniwheel-1/hex bolts with slot on head grade ab gb-5;omniwheel-1/hex bolts with slot on head grade ab gb-6,Origin_omniwheel2,基准轴2,omniwheel1,continuous,0.057368,-0.24133,-0.052798,0.95859,0.35957,3.0825,base_link,0,1,0,,,,,,,,,,,,
wheel11,3.8113E-07,6.2405E-06,5.7962E-06,0,0,0,0.0023,2.1874E-07,1.3618E-15,3.3533E-15,2.4987E-07,-3.4067E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel11.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel11.STL,,omniwheel-1/wheel-1,Origin_wheel11,基准轴11,wheel11,continuous,0.037549,-0.0097572,0.011185,-0.43376,-1.3329,2.7873,omniwheel1,1,0,0,,,,,,,,,,,,
wheel12,3.8266E-07,6.2407E-06,5.7962E-06,0,0,0,0.0023,2.1874E-07,4.9229E-15,2.8371E-15,2.4987E-07,-1.2206E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel12.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel12.STL,,omniwheel-1/wheel-2,Origin_wheel12,基准轴12,wheel12,continuous,0.034115,-0.011576,-0.0159,2.2335,-1.094,0.094214,omniwheel1,1,0,0,,,,,,,,,,,,
wheel13,3.8062E-07,6.2407E-06,5.7963E-06,0,0,0,0.0023,2.1874E-07,4.4536E-15,4.6171E-15,2.4987E-07,-1.4534E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel13.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel13.STL,,omniwheel-1/wheel-3,Origin_wheel13,基准轴13,wheel13,continuous,0.014055,-0.011977,-0.034504,2.3138,-0.39997,-0.016934,omniwheel1,1,0,0,,,,,,,,,,,,
wheel14,3.7977E-07,6.2404E-06,5.7968E-06,0,0,0,0.0023,2.1874E-07,-1.2993E-15,1.7947E-14,2.4987E-07,1.501E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel14.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel14.STL,,omniwheel-1/wheel-4,Origin_wheel14,基准轴14,wheel14,continuous,-0.013243,-0.010774,-0.035923,2.3168,0.29622,-0.070177,omniwheel1,1,0,0,,,,,,,,,,,,
wheel15,3.8257E-07,6.2407E-06,5.796E-06,0,0,0,0.0023,2.1874E-07,4.5111E-15,-1.2396E-15,2.4987E-07,4.8438E-17,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel15.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel15.STL,,omniwheel-1/wheel-5,Origin_wheel15,基准轴15,wheel15,continuous,-0.035007,-0.0085285,-0.019493,2.2596,0.99107,-0.15978,omniwheel1,1,0,0,,,,,,,,,,,,
wheel16,3.7925E-07,6.2408E-06,5.7963E-06,0,0,0,0.0023,2.1874E-07,9.153E-15,6.373E-15,2.4987E-07,-3.5456E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel16.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel16.STL,,omniwheel-1/wheel-6,Origin_wheel16,基准轴16,wheel16,continuous,-0.041053,-0.006292,0.0070979,-0.20917,1.4283,-2.6546,omniwheel1,1,0,0,,,,,,,,,,,,
wheel17,3.8173E-07,6.2404E-06,5.7967E-06,0,0,0,0.0023,2.1874E-07,-1.5362E-15,1.271E-14,2.4987E-07,1.5529E-16,2.4987E-07,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel17.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ballbot 3.0/meshes/wheel17.STL,,omniwheel-1/wheel-7,Origin_wheel17,基准轴17,wheel17,continuous,-0.028553,-0.0051108,0.031408,-0.64886,0.74769,-3.1216,omniwheel1,1,0,0,,,,,,,,,,,,
